acl 2.3.1-3
xorgproto 2022.2-1
xvidcore 1.3.7-2
xz 5.4.3-1
yay 12.0.4-1
zeromq 4.3.4-2
zimg 3.0.4-1
zlib 1:1.2.13-2
zstd 1.5.5-1
zxing-cpp 2.0.0-2
zziplib 0.13.72-2
